date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:30:58	129/129	---M-Z	200	added ('OK')	text/plain	date:Fri,%2015%20Dec%202023%2002:30:57%20GMT	https://subway-surfers.org/robots.txt		(from )
23:30:59	78542/78542	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Dec%202023%2002:30:57%20GMT	https://subway-surfers.org/winter-holiday/	C:/Users/duard/Downloads/SUBWAY%20SURF%20BRABO/DFSSSSS/subway-surfers.org/winter-holiday/index.html	(from )
23:30:59	105205/105205	---M--	200	added ('OK')	image/jpeg	date:Thu,%2005%20Jan%202023%2011:59:57%20GMT	https://subway-surfers.org/wp-content/uploads/2023/01/Subway-surfers-winter-holyday.jpg	C:/Users/duard/Downloads/SUBWAY%20SURF%20BRABO/DFSSSSS/subway-surfers.org/wp-content/uploads/2023/01/Subway-surfers-winter-holyday.jpg	(from https://subway-surfers.org/winter-holiday/)
23:30:59	110035/110035	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20Nov%202023%2002:53:04%20GMT	https://subway-surfers.org/wp-includes/css/dist/block-library/style.min.css?ver=6.4.2	C:/Users/duard/Downloads/SUBWAY%20SURF%20BRABO/DFSSSSS/subway-surfers.org/wp-includes/css/dist/block-library/style.min1e39.css	(from https://subway-surfers.org/winter-holiday/)
23:30:59	5756/5756	---M-Z	200	added ('OK')	text/css	date:Sun,%2029%20Oct%202023%2005:46:40%20GMT	https://subway-surfers.org/wp-content/themes/hello-elementor/style.min.css?ver=2.9.0	C:/Users/duard/Downloads/SUBWAY%20SURF%20BRABO/DFSSSSS/subway-surfers.org/wp-content/themes/hello-elementor/style.min5b0a.css	(from https://subway-surfers.org/winter-holiday/)
23:31:00	12439/12439	---M-Z	200	added ('OK')	text/css	date:Sun,%2029%20Oct%202023%2005:46:40%20GMT	https://subway-surfers.org/wp-content/themes/hello-elementor/theme.min.css?ver=2.9.0	C:/Users/duard/Downloads/SUBWAY%20SURF%20BRABO/DFSSSSS/subway-surfers.org/wp-content/themes/hello-elementor/theme.min5b0a.css	(from https://subway-surfers.org/winter-holiday/)
23:31:00	117332/117332	---M-Z	200	added ('OK')	text/css	date:Tue,%2012%20Dec%202023%2006:34:50%20GMT	https://subway-surfers.org/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.18.2	C:/Users/duard/Downloads/SUBWAY%20SURF%20BRABO/DFSSSSS/subway-surfers.org/wp-content/plugins/elementor/assets/css/frontend-lite.minaad7.css	(from https://subway-surfers.org/winter-holiday/)
23:31:00	1208/1208	---MCZ	200	added ('OK')	text/css	date:Tue,%2012%20Dec%202023%2006:35:04%20GMT	https://subway-surfers.org/wp-content/uploads/elementor/css/post-4.css?ver=1702362904	C:/Users/duard/Downloads/SUBWAY%20SURF%20BRABO/DFSSSSS/subway-surfers.org/wp-content/uploads/elementor/css/post-489ee.css	(from https://subway-surfers.org/winter-holiday/)
23:31:00	19571/19571	---M-Z	200	added ('OK')	text/css	date:Tue,%2012%20Dec%202023%2006:34:58%20GMT	https://subway-surfers.org/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.25.0	C:/Users/duard/Downloads/SUBWAY%20SURF%20BRABO/DFSSSSS/subway-surfers.org/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min7bb8.css	(from https://subway-surfers.org/winter-holiday/)
23:31:00	12876/12876	---M-Z	200	added ('OK')	text/css	date:Thu,%2007%20Dec%202023%2005:55:44%20GMT	https://subway-surfers.org/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min.css?ver=5.3.6	C:/Users/duard/Downloads/SUBWAY%20SURF%20BRABO/DFSSSSS/subway-surfers.org/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min48f5.css	(from https://subway-surfers.org/winter-holiday/)
